sequence,variable,value
40,param_172,0.2873
41,param_172,0.5484
42,param_172,0.2945
43,param_172,0.3423
1504,param_132,2.2453
1505,param_132,2.2453
1506,param_132,2.3301
1507,param_132,2.3187
1508,param_132,2.2453
1509,param_132,2.2544
1510,param_132,2.3187
1511,param_132,2.2535
1512,param_132,2.2711
1513,param_132,2.3187
1514,param_132,2.2535
1515,param_132,2.2453
1516,param_132,2.3187
55,param_128,3.016
56,param_128,2.88
57,param_128,3.008
58,param_128,2.965
59,param_128,3.35
60,param_128,3.355
61,param_128,3.338
62,param_128,3.338
63,param_128,3.153
64,param_128,3.034
65,param_128,3.08
66,param_128,3.08
67,param_128,3.08
68,param_128,3.08
69,param_128,3.08
70,param_128,3.08
71,param_128,3.41
72,param_128,3.361
73,param_128,3.41
74,param_128,3.42
75,param_128,3.361
76,param_128,3.42
77,param_128,3.42
78,param_128,3.361
79,param_128,3.41
80,param_128,3.42
81,param_128,3.085
82,param_128,3.034
83,param_128,3.085
84,param_128,3.361
85,param_128,3.085
86,param_128,3.085
87,param_128,3.136
88,param_128,3.136
89,param_128,3.1921822849807446
90,param_128,3.136
91,param_128,3.41
92,param_128,3.361
93,param_128,3.1921822849807446
94,param_128,3.158
95,param_128,3.1921822849807446
96,param_128,3.361
97,param_128,3.042
98,param_128,3.042
99,param_128,3.136
100,param_128,3.042
101,param_128,3.081
102,param_128,3.081
103,param_128,3.042
104,param_128,3.158
105,param_128,3.136
106,param_128,3.158
107,param_128,3.158
108,param_128,3.158
109,param_128,3.042
110,param_128,3.18
111,param_128,3.042
112,param_128,3.136
113,param_128,3.18
114,param_128,3.042
115,param_128,3.136
116,param_128,3.042
117,param_128,3.18
118,param_128,3.136
119,param_128,3.323
120,param_128,3.066
121,param_128,3.18
122,param_128,3.565
123,param_128,3.133
124,param_128,3.018
125,param_128,3.565
126,param_128,3.158
127,param_128,3.193
128,param_128,3.133
129,param_128,3.133
130,param_128,3.133
131,param_128,3.136
132,param_128,3.565
133,param_128,3.1921822849807446
134,param_128,3.085
135,param_128,3.193
136,param_128,3.193
137,param_128,3.018
138,param_128,3.193
139,param_128,3.565
140,param_128,3.024
141,param_128,3.024
142,param_128,3.149
143,param_128,3.149
144,param_128,3.085
145,param_128,3.565
146,param_128,3.193
147,param_128,3.196
148,param_128,3.032
149,param_128,3.149
150,param_128,3.032
151,param_128,3.133
152,param_128,3.565
153,param_128,3.196
154,param_128,3.565
155,param_128,3.149
156,param_128,3.565
157,param_128,3.085
158,param_128,3.161
159,param_128,3.423
160,param_128,3.531
161,param_128,3.423
162,param_128,3.531
163,param_128,3.018
164,param_128,3.531
165,param_128,3.531
166,param_128,3.287
167,param_128,3.423
168,param_128,3.287
169,param_128,3.425
170,param_128,3.425
171,param_128,3.425
172,param_128,3.423
173,param_128,3.425
174,param_128,3.085
175,param_128,3.085
176,param_128,3.425
177,param_128,3.423
178,param_128,3.085
179,param_128,3.425
180,param_128,3.531
181,param_128,3.423
182,param_128,3.425
183,param_128,3.149
184,param_128,3.085
185,param_128,3.081
186,param_128,3.287
187,param_128,3.531
188,param_128,3.423
189,param_128,3.423
190,param_128,3.132
191,param_128,3.132
192,param_128,3.132
193,param_128,3.043
194,param_128,3.132
195,param_128,3.18
196,param_128,3.09
197,param_128,3.09
198,param_128,3.09
199,param_128,3.09
200,param_128,3.533
201,param_128,3.269
202,param_128,3.253
203,param_128,3.197
204,param_128,3.126
205,param_128,3.126
206,param_128,3.126
207,param_128,3.276
208,param_128,3.334
209,param_128,3.276
210,param_128,3.286
211,param_128,3.334
212,param_128,3.276
213,param_128,3.345
214,param_128,3.345
215,param_128,3.345
216,param_128,3.345
217,param_128,3.345
218,param_128,3.276
219,param_128,3.531
220,param_128,3.531
221,param_128,3.531
222,param_128,3.345
223,param_128,3.341
224,param_128,3.341
225,param_128,3.341
226,param_128,3.341
227,param_128,3.341
228,param_128,3.317
229,param_128,3.317
230,param_128,3.341
231,param_128,3.341
232,param_128,3.317
233,param_128,3.317
234,param_128,3.037
235,param_128,3.037
236,param_128,3.531
237,param_128,3.325
238,param_128,3.276
239,param_128,3.332
240,param_128,3.386
241,param_128,3.341
242,param_128,3.325
243,param_128,3.317
244,param_128,3.317
245,param_128,3.037
246,param_128,3.267
247,param_128,3.332
248,param_128,3.332
249,param_128,3.267
250,param_128,3.261
251,param_128,3.332
252,param_128,3.261
253,param_128,3.261
254,param_128,3.037
255,param_128,3.332
256,param_128,3.261
257,param_128,3.267
258,param_128,3.267
259,param_128,3.267
260,param_128,3.267
261,param_128,3.261
262,param_128,3.195
263,param_128,3.261
264,param_128,3.267
265,param_128,3.267
266,param_128,3.267
267,param_128,3.126
268,param_128,3.267
269,param_128,3.261
270,param_128,3.126
271,param_128,3.267
272,param_128,3.126
273,param_128,3.126
274,param_128,3.126
275,param_128,3.267
276,param_128,3.267
277,param_128,3.126
278,param_128,3.173
279,param_128,3.182
280,param_128,3.173
281,param_128,3.173
282,param_128,3.182
283,param_128,3.105
284,param_128,3.223
285,param_128,3.223
286,param_128,3.105
287,param_128,3.223
288,param_128,3.105
289,param_128,3.1
290,param_128,3.105
291,param_128,3.182
292,param_128,3.105
293,param_128,3.116
294,param_128,3.182
295,param_128,3.116
296,param_128,3.223
297,param_128,3.332
298,param_128,3.116
299,param_128,3.1921822849807446
300,param_128,3.531
301,param_128,3.396
302,param_128,3.396
303,param_128,3.396
304,param_128,3.396
305,param_128,3.396
306,param_128,3.396
307,param_128,3.396
308,param_128,3.396
309,param_128,3.1
310,param_128,3.116
311,param_128,3.145
312,param_128,3.101
313,param_128,3.101
314,param_128,3.101
315,param_128,3.101
316,param_128,3.1921822849807446
317,param_128,3.223
318,param_128,3.1
319,param_128,3.116
320,param_128,3.502
321,param_128,3.502
322,param_128,3.1
323,param_128,3.502
324,param_128,3.502
325,param_128,3.108
326,param_128,3.037
327,param_128,3.502
328,param_128,3.101
329,param_128,3.088
330,param_128,3.257
331,param_128,3.114
280,param_131,0.9984
281,param_131,0.9984
282,param_131,0.9962
283,param_131,0.9965
284,param_131,0.995
285,param_131,0.995
286,param_131,0.9965
287,param_131,0.995
288,param_131,0.9965
289,param_131,0.998
290,param_131,0.9965
291,param_131,0.9962
292,param_131,0.9965
293,param_131,0.9947
294,param_131,0.9962
295,param_131,0.9947
484,param_163,0.139
485,param_163,0.111
486,param_163,0.116
487,param_163,0.033
488,param_163,0.106
489,param_163,0.123
490,param_163,0.117
491,param_163,0.098
492,param_163,0.118
493,param_163,0.066
494,param_163,0.041
495,param_163,0.144
99,param_137,164.3
100,param_137,51.3
101,param_137,110.9
102,param_137,116.2
103,param_137,141.6
104,param_137,125.4
105,param_137,218.8
106,param_137,152.3
107,param_137,162.4
108,param_137,131.5
109,param_137,123.3
110,param_137,185.9
111,param_137,65.4
112,param_137,152.5
113,param_137,106.5
114,param_137,154.4
115,param_137,164.1
116,param_137,249.0
117,param_137,72.0
118,param_137,169.3
119,param_137,122.1
120,param_137,170.1
121,param_137,127.0
122,param_137,120.0
123,param_137,108.5
124,param_137,94.1
125,param_137,144.3
126,param_137,170.6
127,param_137,35.4
128,param_137,142.7
129,param_137,146.6
130,param_137,179.7
131,param_137,164.3
132,param_137,246.0
133,param_137,156.8
134,param_137,187.1
135,param_137,101.9
136,param_137,87.1
137,param_137,109.0
138,param_137,222.2
139,param_137,153.3
140,param_137,74.1
141,param_137,78.3
142,param_137,144.5
143,param_137,160.0
144,param_137,162.0
145,param_137,71.7
146,param_137,114.9
147,param_137,173.3
148,param_137,177.3
149,param_137,179.3
150,param_137,102.4
151,param_137,211.5
152,param_137,172.2
153,param_137,96.9
154,param_137,151.3
155,param_137,84.8
156,param_137,150.9
157,param_137,95.8
158,param_137,152.0
159,param_137,226.1
160,param_137,107.3
161,param_137,125.5
162,param_137,164.8
163,param_137,148.9
164,param_137,114.6
165,param_137,42.4
166,param_137,137.9
167,param_137,74.7
168,param_137,134.1
169,param_137,69.3
170,param_137,169.8
171,param_137,155.4
172,param_137,97.5
173,param_137,187.4
174,param_137,157.6
175,param_137,118.0
176,param_137,98.6
177,param_137,39.2
178,param_137,95.4
179,param_137,169.3
180,param_137,89.9
181,param_137,190.0
182,param_137,164.2
183,param_137,37.7
184,param_137,196.5
185,param_137,102.7
186,param_137,171.6
187,param_137,153.5
188,param_137,102.5
189,param_137,143.1
190,param_137,150.3
191,param_137,46.6
192,param_137,164.2
193,param_137,59.9
194,param_137,146.1
195,param_137,160.7
196,param_137,125.5
197,param_137,73.7
198,param_137,117.4
199,param_137,128.5
200,param_137,131.8
201,param_137,45.4
202,param_137,51.9
203,param_137,172.7
204,param_137,189.0
205,param_137,101.8
206,param_137,110.5
207,param_137,148.5
208,param_137,143.4
209,param_137,105.5
210,param_137,96.8
211,param_137,109.9
212,param_137,53.1
213,param_137,22.0
214,param_137,136.3
215,param_137,206.2
216,param_137,93.2
217,param_137,233.1
218,param_137,137.7
219,param_137,151.8
220,param_137,150.7
221,param_137,121.2
222,param_137,163.9
223,param_137,148.2
224,param_137,66.7
225,param_137,127.3
226,param_137,125.0
227,param_137,195.6
228,param_137,86.7
229,param_137,199.2
230,param_137,96.7
231,param_137,122.69294871794872
232,param_137,92.3
233,param_137,76.0
234,param_137,93.4
235,param_137,169.5
236,param_137,83.3
237,param_137,123.6
238,param_137,181.2
239,param_137,111.0
240,param_137,129.0
241,param_137,140.3
242,param_137,152.7
243,param_137,71.7
244,param_137,184.1
245,param_137,47.1
246,param_137,128.4
247,param_137,100.5
248,param_137,100.2
249,param_137,96.5
250,param_137,115.1
251,param_137,139.8
252,param_137,102.5
253,param_137,114.7
254,param_137,119.7
255,param_137,135.9
256,param_137,219.9
257,param_137,132.4
258,param_137,155.4
259,param_137,128.4
260,param_137,101.5
261,param_137,228.3
262,param_137,154.0
263,param_137,222.6
264,param_137,79.7
265,param_137,51.2
266,param_137,67.1
267,param_137,140.6
268,param_137,99.3
269,param_137,33.5
270,param_137,100.7
271,param_137,166.4
272,param_137,76.9
273,param_137,199.0
274,param_137,186.6
275,param_137,54.2
276,param_137,61.9
277,param_137,174.8
278,param_137,137.9
279,param_137,112.3
280,param_137,176.0
281,param_137,94.3
282,param_137,134.6
283,param_137,77.9
284,param_137,91.2
285,param_137,136.9
286,param_137,122.8
287,param_137,135.8
288,param_137,93.2
289,param_137,137.2
290,param_137,222.6
291,param_137,143.3
292,param_137,90.5
293,param_137,33.6
294,param_137,85.9
295,param_137,89.8
296,param_137,157.7
297,param_137,197.8
298,param_137,183.2
299,param_137,200.5
300,param_137,56.5
301,param_137,141.7
302,param_137,191.2
303,param_137,122.69294871794872
304,param_137,116.4
305,param_137,157.4
306,param_137,126.7
307,param_137,222.0
308,param_137,114.7
309,param_137,172.5
310,param_137,135.4
311,param_137,112.6
312,param_137,119.8
313,param_137,55.3
314,param_137,110.8
315,param_137,160.1
316,param_137,176.8
317,param_137,223.1
318,param_137,88.3
319,param_137,185.4
320,param_137,146.8
321,param_137,74.2
322,param_137,187.0
323,param_137,174.4
324,param_137,128.2
325,param_137,145.7
326,param_137,110.9
327,param_137,58.5
328,param_137,124.7
329,param_137,143.9
330,param_137,86.6
331,param_137,169.7
332,param_137,146.7
333,param_137,113.0
334,param_137,100.1
335,param_137,96.6
336,param_137,197.3
337,param_137,96.3
338,param_137,166.4
339,param_137,89.4
340,param_137,90.5
341,param_137,76.6
342,param_137,148.1
343,param_137,162.0
344,param_137,197.2
345,param_137,186.0
346,param_137,86.1
347,param_137,161.6
348,param_137,185.8
349,param_137,72.7
350,param_137,157.3
351,param_137,43.1
352,param_137,187.4
353,param_137,112.4
354,param_137,68.5
355,param_137,106.0
356,param_137,130.4
357,param_137,142.4
358,param_137,132.5
359,param_137,105.2
360,param_137,207.1
361,param_137,161.8
362,param_137,96.2
363,param_137,168.2
364,param_137,136.1
365,param_137,128.9
366,param_137,119.0
367,param_137,188.2
368,param_137,150.0
369,param_137,113.9
370,param_137,74.7
371,param_137,120.8
372,param_137,104.4
373,param_137,116.7
374,param_137,102.3
375,param_137,47.0
963,param_127,0.5516
964,param_127,0.9419
965,param_127,0.9419
966,param_127,0.9472
967,param_127,0.9297
968,param_127,0.9419
969,param_127,0.9297
970,param_127,0.5516
971,param_127,0.9419
972,param_127,0.5516
973,param_127,0.9297
974,param_127,0.9419
975,param_127,0.9419
976,param_127,0.9086
977,param_127,0.5516
978,param_127,0.9086
979,param_127,0.9419
980,param_127,0.9086
838,param_165,0.247
839,param_165,0.167
840,param_165,0.11
841,param_165,0.044
842,param_165,0.11
843,param_165,0.138
844,param_165,0.195
845,param_165,0.153
846,param_165,0.274
847,param_165,0.263
848,param_165,0.157
849,param_165,0.161
533,param_133,1003.0211
534,param_133,1001.3796
535,param_133,1003.0211
536,param_133,1010.787
537,param_133,1003.0211
538,param_133,1003.4291
539,param_133,1001.3796
540,param_133,997.8064
541,param_133,997.8064
542,param_133,1003.0211
543,param_133,1001.3796
544,param_133,1005.3318
545,param_133,1006.0844
546,param_133,1005.3318
547,param_133,1006.0844
548,param_133,1006.0844
549,param_133,1006.0844
550,param_133,1001.3796
551,param_133,1005.3318
552,param_133,1006.0844
553,param_133,1006.0844
554,param_133,1005.3318
555,param_133,1008.7232
556,param_133,1006.0844
557,param_133,1008.7232
558,param_133,1007.4808
559,param_133,1006.0844
560,param_133,1007.4808
561,param_133,1008.7769
562,param_133,1008.7769
563,param_133,1008.7232
564,param_133,1005.3318
565,param_133,1006.0844
566,param_133,1000.8402
567,param_133,1007.4808
568,param_133,1003.0211
569,param_133,1008.7769
570,param_133,1005.3318
571,param_133,1000.8402
572,param_133,1006.0844
573,param_133,1003.0211
574,param_133,1008.7769
575,param_133,1007.4808
576,param_133,1008.7232
577,param_133,1000.8402
578,param_133,1000.8402
579,param_133,1007.4808
580,param_133,1005.3318
581,param_133,1000.8402
582,param_133,1007.4808
583,param_133,1002.4074
584,param_133,1004.4267
585,param_133,1004.4267
586,param_133,1002.8717
587,param_133,1002.8717
588,param_133,1005.3318
589,param_133,1002.8717
590,param_133,1004.4267
591,param_133,1003.0211
592,param_133,1002.8717
593,param_133,991.5424
594,param_133,1003.0211
595,param_133,1007.4808
596,param_133,1007.4808
597,param_133,1004.4267
598,param_133,1007.4808
599,param_133,1003.0211
600,param_133,1002.8717
601,param_133,1007.4808
602,param_133,1008.7232
603,param_133,1006.5471
604,param_133,1006.5471
605,param_133,1008.7232
606,param_133,1006.5471
607,param_133,1006.5471
608,param_133,1006.5471
609,param_133,1009.9188
610,param_133,1006.5471
611,param_133,1004.4267
612,param_133,1010.6904
613,param_133,1010.6904
614,param_133,1011.5203
615,param_133,997.7034
616,param_133,1011.5203
617,param_133,1010.6904
618,param_133,1011.5203
619,param_133,1011.5203
620,param_133,1011.5203
621,param_133,1011.5203
622,param_133,1009.1781
623,param_133,997.7034
624,param_133,1009.1781
625,param_133,1008.1258
626,param_133,1009.1781
627,param_133,1010.6104
628,param_133,1010.9003
629,param_133,1009.1781
630,param_133,1010.6104
631,param_133,991.8757
632,param_133,1010.6104
633,param_133,1010.6104
634,param_133,1008.4998
635,param_133,1010.6104
636,param_133,1010.6104
637,param_133,1008.6706
638,param_133,1010.9003
639,param_133,1008.6706
640,param_133,1008.6706
641,param_133,1010.1773
642,param_133,1008.6706
643,param_133,1010.9003
644,param_133,1010.1773
645,param_133,1010.9003
646,param_133,1008.6706
647,param_133,1005.49
648,param_133,1018.1556
649,param_133,1010.1773
650,param_133,1008.6706
651,param_133,1008.6706
652,param_133,1018.1556
653,param_133,1018.1556
654,param_133,1008.6706
655,param_133,1010.1669
656,param_133,1008.6706
657,param_133,1006.766
658,param_133,1005.49
659,param_133,1008.4998
660,param_133,1005.49
661,param_133,1005.49
662,param_133,1006.766
663,param_133,1008.4998
664,param_133,1001.7946
665,param_133,1005.49
666,param_133,1010.1669
667,param_133,1005.49
668,param_133,1006.766
669,param_133,1010.1773
670,param_133,1018.1556
671,param_133,1004.4267
672,param_133,1008.6706
673,param_133,1001.7946
674,param_133,1018.1556
675,param_133,1001.7946
676,param_133,1005.49
677,param_133,1004.5168
678,param_133,1006.766
679,param_133,1001.7946
680,param_133,1001.7946
681,param_133,1001.7946
682,param_133,1001.7946
683,param_133,1001.7946
684,param_133,1004.4267
685,param_133,1001.7946
686,param_133,1006.766
687,param_133,1006.766
688,param_133,1001.7946
689,param_133,1004.5168
690,param_133,1006.766
691,param_133,1004.5168
692,param_133,1000.2793
693,param_133,1004.5168
694,param_133,1005.49
695,param_133,1000.2793
696,param_133,1018.1556
697,param_133,1004.5168
698,param_133,1018.1556
699,param_133,1000.2793
700,param_133,1002.579
701,param_133,1000.2793
702,param_133,1000.2793
703,param_133,1002.579
704,param_133,1000.2793
705,param_133,1002.579
706,param_133,1018.1556
707,param_133,1004.5168
708,param_133,1005.49
709,param_133,1002.579
710,param_133,1000.2793
711,param_133,999.819
712,param_133,1002.579
713,param_133,1012.4752
714,param_133,997.5143
715,param_133,997.5143
716,param_133,999.6484
717,param_133,1004.5168
718,param_133,997.5143
719,param_133,999.6484
720,param_133,999.819
721,param_133,993.4244
722,param_133,997.5143
723,param_133,993.4244
724,param_133,993.4244
725,param_133,993.4244
726,param_133,992.6588
727,param_133,993.4244
728,param_133,993.4244
729,param_133,993.4244
730,param_133,993.4244
731,param_133,987.2854
732,param_133,987.2854
733,param_133,987.2854
734,param_133,987.2854
735,param_133,1004.0946
736,param_133,1012.22
737,param_133,1012.22
738,param_133,1012.22
739,param_133,996.0706
740,param_133,998.6102
741,param_133,998.6102
742,param_133,998.6102
743,param_133,996.0706
744,param_133,998.6102
745,param_133,998.6102
746,param_133,998.6102
747,param_133,996.0706
748,param_133,996.0706
749,param_133,1004.4788
750,param_133,996.2322
751,param_133,996.2322
752,param_133,996.2322
753,param_133,996.2322
754,param_133,996.2322
755,param_133,996.2322
756,param_133,996.0706
757,param_133,996.0706
758,param_133,996.2322
759,param_133,996.0706
760,param_133,1002.2324
761,param_133,1002.2324
762,param_133,1002.2324
763,param_133,1002.2324
764,param_133,1002.2324
765,param_133,996.2322
766,param_133,987.9054
767,param_133,987.9054
768,param_133,1002.2324
769,param_133,996.0706
770,param_133,1002.2324
771,param_133,996.2322
772,param_133,1007.2267
773,param_133,1007.2267
774,param_133,1007.2267
775,param_133,1003.5267
776,param_133,1007.2267
777,param_133,1007.2267
778,param_133,1007.2267
779,param_133,1003.5267
780,param_133,1007.5156
781,param_133,1003.5267
782,param_133,1007.2267
783,param_133,1003.5267
784,param_133,1003.5267
785,param_133,1007.2267
786,param_133,1007.5156
787,param_133,1007.5156
788,param_133,1016.6978
789,param_133,1016.6978
790,param_133,1007.2267
791,param_133,1007.5156
792,param_133,1016.6978
793,param_133,1007.5156
794,param_133,1003.5267
795,param_133,1007.2267
796,param_133,1016.6978
1017,param_136,191.8
1018,param_136,80.2
1019,param_136,163.3
1020,param_136,139.5
1021,param_136,104.7
1022,param_136,61.5
1023,param_136,114.6
1024,param_136,147.8
1025,param_136,93.3
1026,param_136,96.3
1027,param_136,200.9
1028,param_136,198.2
1029,param_136,58.5
1030,param_136,191.0
1031,param_136,105.6
1032,param_136,191.0
1033,param_136,109.7
1034,param_136,90.3
1396,param_133,1000.1451
1397,param_133,1008.4097
1398,param_133,999.9391
1399,param_133,999.9391
1400,param_133,1012.9091
1401,param_133,999.9391
1402,param_133,999.9391
1403,param_133,1000.1451
1404,param_133,997.4334
1405,param_133,1000.1451
1517,param_132,2.2453
1518,param_132,2.3187
1519,param_132,2.2732
1520,param_132,2.2453
1521,param_132,2.3301
1522,param_132,2.3367
1523,param_132,2.2544
1524,param_132,2.2785
1525,param_132,2.2785
1526,param_132,2.2785
1527,param_132,2.2785
1528,param_132,2.2453
1529,param_132,2.2869
1530,param_132,2.2604
1531,param_132,2.2453
1532,param_132,2.2868
1533,param_132,2.2604
1534,param_132,2.2604
1535,param_132,2.2604
1536,param_132,2.2604
1537,param_132,2.2868
1538,param_132,2.2604
1539,param_132,2.2604
1540,param_132,2.2604
1541,param_132,2.2604
1542,param_132,2.3124
1543,param_132,2.3124
1544,param_132,2.3124
1545,param_132,2.2886
1546,param_132,2.2886
1547,param_132,2.2868
1548,param_132,2.2886
1549,param_132,2.2555
1550,param_132,2.2868
1551,param_132,2.2886
1552,param_132,2.2877
1553,param_132,2.3124
1554,param_132,2.2877
1555,param_132,2.2877
1556,param_132,2.2886
1557,param_132,2.2877
1558,param_132,2.2555
1559,param_132,2.2555
1560,param_132,2.2555
1561,param_132,2.3185446440025657
1562,param_132,2.2886
1563,param_132,2.2877
1564,param_132,2.3185446440025657
1565,param_132,2.2604
1566,param_132,2.3185446440025657
0,param_133,1000.7263
1,param_133,998.1081
2,param_133,998.444
3,param_133,980.451
4,param_133,993.1274
5,param_133,998.1081
6,param_133,995.1991
7,param_133,992.8298
8,param_133,992.8298
9,param_133,992.8298
10,param_133,993.1274
11,param_133,997.4308
12,param_133,995.1991
13,param_133,998.4607
14,param_133,998.4607
15,param_133,1004.8054
16,param_133,1004.8054
17,param_133,1004.8054
18,param_133,1006.4594
19,param_133,1006.4594
20,param_133,1006.4594
21,param_133,1006.4594
22,param_133,1006.8463
23,param_133,1010.834
24,param_133,996.2552
25,param_133,1013.0161
26,param_133,1013.0161
27,param_133,1009.9942
28,param_133,1013.0161
29,param_133,1011.7456
30,param_133,1009.9942
31,param_133,1013.0161
32,param_133,1010.4833
33,param_133,1010.4833
34,param_133,1011.7456
35,param_133,1010.4833
36,param_133,1011.7456
37,param_133,1011.7456
38,param_133,1011.7456
39,param_133,1013.5244
40,param_133,1011.7456
41,param_133,1010.4833
42,param_133,1010.4833
43,param_133,999.2814
44,param_133,1001.9434
45,param_133,1001.9434
46,param_133,1007.6964
47,param_133,1007.6964
48,param_133,1013.5244
49,param_133,1001.9434
50,param_133,1001.9434
51,param_133,1004.0281
52,param_133,1004.0281
53,param_133,1007.6964
54,param_133,1007.6964
55,param_133,1007.6964
56,param_133,1004.407
57,param_133,1004.0281
58,param_133,1004.4368
59,param_133,1008.3844
60,param_133,1006.1533
61,param_133,1006.1589
62,param_133,1006.1589
63,param_133,1003.7344
64,param_133,1004.2077
65,param_133,1001.7862
66,param_133,1001.7862
67,param_133,1001.7862
68,param_133,1001.7862
69,param_133,1001.7862
70,param_133,1001.7862
71,param_133,1001.2992
72,param_133,1006.4114
73,param_133,1001.2992
74,param_133,1007.4191
75,param_133,1006.4114
76,param_133,1007.4191
77,param_133,1007.4191
78,param_133,1006.4114
79,param_133,1001.2992
80,param_133,1007.4191
81,param_133,1006.1613
82,param_133,1004.2077
83,param_133,1006.1613
84,param_133,1006.4114
85,param_133,1006.1613
86,param_133,1006.1613
87,param_133,1001.0291
88,param_133,1001.0291
89,param_133,1004.0430934573443
90,param_133,1001.0291
91,param_133,1001.2992
92,param_133,1006.4114
93,param_133,1004.0430934573443
94,param_133,1009.6011
95,param_133,1004.0430934573443
96,param_133,1006.4114
97,param_133,1000.9017
98,param_133,1000.9017
99,param_133,1001.0291
100,param_133,1000.9017
101,param_133,995.2842
102,param_133,995.2842
103,param_133,1000.9017
104,param_133,1009.6011
105,param_133,1001.0291
106,param_133,1009.6011
107,param_133,1009.6011
108,param_133,1009.6011
109,param_133,1000.9017
110,param_133,998.6588
111,param_133,1000.9017
112,param_133,1001.0291
113,param_133,998.6588
114,param_133,1000.9017
115,param_133,1001.0291
116,param_133,1000.9017
117,param_133,998.6588
118,param_133,1001.0291
119,param_133,1004.2506
120,param_133,997.0102
121,param_133,998.6588
122,param_133,1012.1967
123,param_133,1007.05
124,param_133,1004.4356
125,param_133,1012.1967
126,param_133,1009.6011
127,param_133,1001.6031
128,param_133,1007.05
129,param_133,1007.05
130,param_133,1007.05
131,param_133,1001.0291
132,param_133,1012.1967
133,param_133,1004.0430934573443
134,param_133,1000.0948
135,param_133,1001.6031
136,param_133,1001.6031
137,param_133,1004.4356
138,param_133,1001.6031
139,param_133,1012.1967
140,param_133,1009.46
141,param_133,1009.46
142,param_133,1010.4211
143,param_133,1010.4211
144,param_133,1000.0948
145,param_133,1012.1967
146,param_133,1001.6031
147,param_133,998.0332
148,param_133,1008.8233
149,param_133,1010.4211
150,param_133,1008.8233
151,param_133,1007.05
152,param_133,1012.1967
153,param_133,998.0332
154,param_133,1012.1967
155,param_133,1010.4211
156,param_133,1012.1967
157,param_133,1000.0948
158,param_133,1012.6356
159,param_133,1004.8728
160,param_133,1005.8207
161,param_133,1004.8728
162,param_133,1005.8207
163,param_133,1004.4356
164,param_133,1005.8207
165,param_133,1005.8207
166,param_133,1003.8518
167,param_133,1004.8728
168,param_133,1003.8518
169,param_133,1014.2878
170,param_133,1014.2878
171,param_133,1014.2878
172,param_133,1004.8728
173,param_133,1014.2878
174,param_133,1002.6104
175,param_133,1002.6104
176,param_133,1014.2878
177,param_133,1004.8728
178,param_133,1002.6104
179,param_133,1014.2878
180,param_133,1005.8207
181,param_133,1004.8728
182,param_133,1014.2878
183,param_133,1010.4211
184,param_133,1002.6104
185,param_133,995.2842
186,param_133,1003.8518
187,param_133,1005.8207
188,param_133,1004.8728
189,param_133,1004.8728
190,param_133,998.641
191,param_133,998.641
192,param_133,998.641
193,param_133,1003.243
194,param_133,998.641
195,param_133,998.6588
196,param_133,992.5579
197,param_133,992.5579
198,param_133,992.5579
199,param_133,992.5579
200,param_133,1001.8904
201,param_133,1007.1389
202,param_133,1009.3044
203,param_133,1012.5756
204,param_133,1012.0811
205,param_133,1012.0811
206,param_133,1012.0811
207,param_133,1014.2044
208,param_133,1013.8456
209,param_133,1014.2044
210,param_133,1016.5611
211,param_133,1013.8456
212,param_133,1014.2044
213,param_133,1012.1633
214,param_133,1012.1633
215,param_133,1012.1633
401,param_136,123.9
402,param_136,145.3
403,param_136,170.5
404,param_136,116.2
405,param_136,62.2
406,param_136,88.6
407,param_136,77.6
408,param_136,76.6
409,param_136,122.1
410,param_136,104.0
411,param_136,96.6
412,param_136,95.3
413,param_136,270.5
414,param_136,96.9
415,param_136,93.2
416,param_136,88.5
417,param_136,157.1
418,param_136,63.2
814,param_133,1003.1082
815,param_133,1006.1867
816,param_133,1006.1867
817,param_133,1004.5944
818,param_133,1004.5944
819,param_133,1003.1082
820,param_133,986.0991
821,param_133,998.6109
822,param_133,1003.1082
823,param_133,1004.5944
824,param_133,998.6109
825,param_133,998.6109
496,param_163,0.109
497,param_163,0.155
498,param_163,0.145
499,param_163,0.172
500,param_163,0.104
501,param_163,0.112
502,param_163,0.154
503,param_163,0.103
504,param_163,0.132
505,param_163,0.132
506,param_163,0.056
507,param_163,0.105
508,param_163,0.248
509,param_163,0.15
510,param_163,0.103
511,param_163,0.048
512,param_163,0.055
513,param_163,0.15
514,param_163,0.08
515,param_163,0.149
516,param_163,0.101
517,param_163,0.207
518,param_163,0.173
519,param_163,0.124
520,param_163,0.103
521,param_163,0.158
522,param_163,0.094
523,param_163,0.238
524,param_163,0.084
525,param_163,0.108
526,param_163,0.131
527,param_163,0.143
528,param_163,0.118
529,param_163,0.126
530,param_163,0.125
531,param_163,0.077
532,param_163,0.15
533,param_163,0.09
534,param_163,0.147
535,param_163,0.136
536,param_163,0.118
537,param_163,0.131
538,param_163,0.125
539,param_163,0.079
540,param_163,0.077
541,param_163,0.146
542,param_163,0.167
543,param_163,0.179
544,param_163,0.091
545,param_163,0.131
546,param_163,0.119
547,param_163,0.125
548,param_163,0.106
549,param_163,0.095
550,param_163,0.119
551,param_163,0.123
552,param_163,0.126
553,param_163,0.133
554,param_163,0.124
555,param_163,0.119
556,param_163,0.067
557,param_163,0.053
558,param_163,0.249
559,param_163,0.127
560,param_163,0.078
561,param_163,0.097
562,param_163,0.094
563,param_163,0.183
564,param_163,0.133
565,param_163,0.212
